,date_pr,weekday_fa,holiday_inCal,date_gr,weekday_en,my_date
504,1397/05/16,سه شنبه,0,2018-08-07,Tuesday,13970516
505,1397/05/17,چهارشنبه,0,2018-08-08,Wednesday,13970517
506,1397/05/18,پنجشنبه,0,2018-08-09,Thursday,13970518
507,1397/05/19,جمعه,1,2018-08-10,Friday,13970519
508,1397/05/20,شنبه,0,2018-08-11,Saturday,13970520
509,1397/05/21,یکشنبه,0,2018-08-12,Sunday,13970521
510,1397/05/22,دوشنبه,0,2018-08-13,Monday,13970522
511,1397/05/23,سه شنبه,0,2018-08-14,Tuesday,13970523
512,1397/05/24,چهارشنبه,0,2018-08-15,Wednesday,13970524
513,1397/05/25,پنجشنبه,0,2018-08-16,Thursday,13970525
514,1397/05/26,جمعه,1,2018-08-17,Friday,13970526
515,1397/05/27,شنبه,0,2018-08-18,Saturday,13970527
516,1397/05/28,یکشنبه,0,2018-08-19,Sunday,13970528
517,1397/05/29,دوشنبه,0,2018-08-20,Monday,13970529
518,1397/05/30,سه شنبه,0,2018-08-21,Tuesday,13970530
519,1397/05/31,چهارشنبه,1,2018-08-22,Wednesday,13970531
520,1397/06/01,پنجشنبه,0,2018-08-23,Thursday,13970601
521,1397/06/02,جمعه,1,2018-08-24,Friday,13970602
522,1397/06/03,شنبه,0,2018-08-25,Saturday,13970603
523,1397/06/04,یکشنبه,0,2018-08-26,Sunday,13970604
524,1397/06/05,دوشنبه,0,2018-08-27,Monday,13970605
525,1397/06/06,سه شنبه,0,2018-08-28,Tuesday,13970606
526,1397/06/07,چهارشنبه,0,2018-08-29,Wednesday,13970607
527,1397/06/08,پنجشنبه,0,2018-08-30,Thursday,13970608
528,1397/06/09,جمعه,1,2018-08-31,Friday,13970609
529,1397/06/10,شنبه,0,2018-09-01,Saturday,13970610
530,1397/06/11,یکشنبه,0,2018-09-02,Sunday,13970611
531,1397/06/12,دوشنبه,0,2018-09-03,Monday,13970612
532,1397/06/13,سه شنبه,0,2018-09-04,Tuesday,13970613
533,1397/06/14,چهارشنبه,0,2018-09-05,Wednesday,13970614
534,1397/06/15,پنجشنبه,0,2018-09-06,Thursday,13970615
535,1397/06/16,جمعه,1,2018-09-07,Friday,13970616
536,1397/06/17,شنبه,0,2018-09-08,Saturday,13970617
537,1397/06/18,یکشنبه,0,2018-09-09,Sunday,13970618
538,1397/06/19,دوشنبه,0,2018-09-10,Monday,13970619
539,1397/06/20,سه شنبه,0,2018-09-11,Tuesday,13970620
540,1397/06/21,چهارشنبه,0,2018-09-12,Wednesday,13970621
541,1397/06/22,پنجشنبه,0,2018-09-13,Thursday,13970622
